"Season","Name","Team","G","PA","BB%","K%","AVG","OBP","SLG","wOBA","xwOBA","wRC+","WAR","playerid"
"1999","Joe Randa","KCR","156","689","7.3%","11.6%",".314",".363",".473",".362","","107","2.4","623"
"1874","John McMullin","PHN","55","268","3.0%","4.5%",".346",".366",".423",".362","","130","1.6","1008649"
"1945","Johnny Hopp","STL","124","505","9.7%","4.8%",".289",".363",".395",".362","","110","2.8","1006022"
"1920","Dode Paskert","CHC","139","572","11.2%","10.1%",".279",".366",".396",".362","","122","2.7","1010042"
"2012","Ian Desmond","WSN","130","547","5.5%","20.7%",".292",".335",".511",".362","","128","4.2","6885"
"1973","Dusty Baker","ATL","159","686","9.8%","10.5%",".288",".359",".454",".362","","119","4.2","1000450"
"1938","Sam West","- - -","136","567","8.3%","5.3%",".305",".363",".420",".362","","97","1.3","1013813"
"2001","Paul Konerko","CHW","156","650","8.3%","13.7%",".282",".349",".507",".362","","121","2.3","242"
"1884","Paul Hines","PRO","114","534","8.2%","5.2%",".302",".360",".435",".362","","138","4.8","1005845"
"1916","Dode Paskert","PHI","149","624","8.7%","12.2%",".279",".346",".402",".362","","127","3.3","1010042"
"2003","Andruw Jones","ATL","156","659","8.0%","19.0%",".277",".338",".513",".362","","118","5.2","96"
"1992","Robin Ventura","CHW","157","694","13.4%","10.2%",".282",".375",".431",".362","","129","6.1","854"
"1896","Jake Beckley","- - -","105","455","6.8%","7.7%",".276",".351",".419",".362","","103","1.8","1000754"
"1890","Duke Farrell","CPI","117","494","8.5%","5.7%",".290",".352",".404",".362","","99","2.7","1003942"
"1966","Joe Morgan","HOU","122","528","16.9%","8.1%",".285",".410",".391",".362","","131","3.3","1009179"
"1992","Terry Pendleton","ATL","160","689","5.4%","9.7%",".311",".345",".473",".362","","127","5.1","1010157"
"1913","Zack Wheat","BRO","138","573","4.4%","7.9%",".301",".335",".430",".362","","112","3.3","1013828"
